Time                  	Type 	     File_Name	         Sheet	         Cells	          User	Message
[2022-10-18 16:34:08]	 INFO 	fkmnms_logsheet_OCT2018	   zooplankton	C14:E19, H14:N19	Sebastian Di Geronimo	added the missing information from sheets sent from Ian Smith
[2022-10-18 16:38:41]	 INFO 	fkmnms_logsheet_OCT2018	   zooplankton	       A20:N21	Sebastian Di Geronimo	Added sites 54 and 57 to end of sheet. I am not sure if we actually got this split from NOAA, but would be good to have if we did. Info from Ian Smith
[2022-10-18 16:42:38]	 INFO 	fkmnms_logsheet_OCT2018	   zooplankton	       A10:B11	Sebastian Di Geronimo	Inserted stations 54 and 57 with lat/lon
[2022-10-18 16:48:31]	 INFO 	fkmnms_sample_logsheet_APR2018	   zooplankton	C14:E19, H14:I19	Sebastian Di Geronimo	Added missing information for MR, LK, and WS. Info from Ian Smith
[2022-10-18 16:52:28]	 INFO 	fkmnms_sample_logsheet_APR2018	   zooplankton	       A20:N21	Sebastian Di Geronimo	Added station 54 and 55. I don't know if NOAA split it with IMaRS
[2022-10-18 16:53:40]	 INFO 	fkmnms_sample_logsheet_APR2018	   zooplankton	       A10:B11	Sebastian Di Geronimo	Inserted stations 54 and 55 with lat/lon
[2022-10-18 17:01:25]	 INFO 	fknms_logsheet_MAR2018	   zooplankton	C14:E19, H14:I19	Sebastian Di Geronimo	Added missing information for MR, LK, and WS. Info from Ian Smith
[2022-10-18 17:09:20]	 INFO 	fknms_logsheet_MAR2018	   zooplankton	       A20:N26	Sebastian Di Geronimo	Added stations 54 to 57.3 along transect of Shark River. I dont know if IMaRS got a split. Info from Ian Smith
[2022-10-18 17:11:14]	 INFO 	fknms_logsheet_MAR2018	   zooplankton	       A10:B16	Sebastian Di Geronimo	Added stations number with lat/lon
[2022-10-18 17:18:59]	 INFO 	fknms_sample_logsheet_OCT2017	   zooplankton	       A10:B16	Sebastian Di Geronimo	Inserted stations and their lat/lon NOTE: we labeled WS17275, NOAA labeled: WS17282
[2022-10-18 17:28:55]	 INFO 	fknms_sample_logsheet_OCT2017	   zooplankton	C19:D33, H19:I33	Sebastian Di Geronimo	added missing information. Info from Ian Smith, removed line 26, added notes to col O
